fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,flow_duration,label
105,148,15195,10818,2013593.6445747102,Benign
242,113,5797,2790,17487514.36819096,Benign
189,124,15309,4394,11174946.70435209,Benign
122,104,3407,5096,11844710.110840745,Benign
61,153,4791,704,11543372.56313114,Benign
277,115,7508,10175,15344253.391821118,Benign
122,55,15407,6002,3764536.9489588216,Benign
110,25,10629,11462,12666920.374659121,Benign
122,64,1126,13120,9920110.719974972,Benign
90,183,10812,11342,18042205.03064676,Benign
196,25,8694,12953,10872797.820030183,Benign
122,111,4319,10900,18915764.507409148,Benign
11,130,9673,8697,7711806.889418226,Benign
139,138,6431,8320,19370999.42140982,Benign
229,77,5378,8640,17628001.013743587,Benign
63,197,19505,1031,12101002.504971739,Benign
233,80,12012,14488,7720488.733061466,Benign
234,190,7490,10784,8142543.791598638,Benign
135,82,11563,13244,15682289.642707542,Benign
139,138,17622,8516,12031995.672211846,Benign
62,69,2420,726,8630164.1239171,Benign
181,90,15672,6642,13085044.266831122,Benign
227,38,1340,7982,14931434.560117941,Benign
169,60,12542,2599,1435109.7386108525,Benign
207,79,8520,7813,2707393.221232692,Benign
256,7,12185,7790,2795223.3677345044,Benign
212,174,5987,14530,5406742.30000336,Benign
193,194,13749,5066,9112818.345318966,Benign
132,10,6412,9588,16269348.086558536,Benign
264,10,8670,10012,7670881.664991591,Benign
289,195,19879,3161,1332077.9792314905,Benign
107,152,14766,11251,10183875.20608285,Benign
207,153,9323,2164,19935943.313067816,Benign
249,6,2857,2025,7631398.917443463,Benign
153,94,15455,4250,19263835.856578983,Benign
106,60,1504,14013,2925557.49159203,Benign
210,100,8467,7257,4288893.500200791,Benign
133,14,19540,4154,14758319.332768457,Benign
196,91,9484,14233,10523036.530443419,Benign
268,74,12842,3067,15537314.265851837,Benign
157,155,5923,13461,17407608.555548906,Benign
261,117,10251,1596,5770612.645159657,Benign
156,34,16920,3598,13973754.238355096,Benign
157,132,11495,3740,12544423.496041365,Benign
208,82,14319,11514,17369165.554650493,Benign
137,169,10393,8467,9171974.11158777,Benign
48,59,7900,7228,1985538.18350254,Benign
138,53,3160,5828,11909536.418177728,Benign
276,38,17236,8278,19218688.0632507,Benign
160,109,7221,11619,1277992.4105992448,Benign
108,176,11038,8579,5564901.780026638,Benign
272,26,9255,13685,7005288.00931828,Benign
261,35,3699,14750,15550938.869928535,Benign
153,139,12125,4114,7142261.526895075,Benign
121,109,16401,1347,5542593.4007299645,Benign
69,153,1372,14754,13322602.27487378,Benign
11,20,15544,4116,1881700.4902589924,Benign
263,24,19898,3204,4241340.339216192,Benign
149,47,18315,7254,8752574.34471943,Benign
46,176,2990,4393,7756399.284460591,Benign
169,51,10607,12073,7596150.564483901,Benign
18,118,7790,11763,3062545.2492735735,Benign
242,23,9553,3494,7855960.369546135,Probe
108,52,6383,13434,16161862.667836651,Benign
156,143,16575,5033,8863039.834150508,Benign
217,161,1715,2000,12137252.511498015,Benign
140,49,10837,2942,4108008.777029033,Benign
161,168,18931,2225,2324515.9059029454,Benign
63,180,14950,10257,17719164.79669965,Infiltration
129,91,8992,14892,7296079.326773218,Benign
170,19,18035,7841,7656407.428294521,Benign
125,114,2050,10435,17676069.14009831,Benign
84,176,14357,825,14447655.629266135,Benign
122,199,5742,4917,15368991.508764645,Benign
113,100,14369,10922,13958066.199185591,Benign
263,172,6044,3166,3010052.651039191,Benign
236,106,11288,9901,19201920.600068327,Benign
121,90,8261,4861,18273589.455430623,Benign
108,146,11846,7652,5488182.409797634,Benign
162,195,19064,1341,16275889.631732985,Benign
203,85,10799,13116,8778532.198449079,Benign
172,55,4522,12593,13991572.389425177,Benign
217,116,14690,12128,4146456.9964514463,Benign
178,190,3057,5278,11232530.762471996,Benign
170,19,3721,2571,3405709.691638215,Benign
77,69,5821,1784,11187176.141804203,Brute Force
298,92,3563,1878,5628285.165087043,Benign
286,187,15559,6839,9596864.046607478,Benign
144,80,14692,3158,13691417.976314185,Benign
204,14,16661,4061,17664417.05155176,Benign
137,46,1202,6507,4140491.058620283,Benign
42,99,1941,5952,17972113.192936268,Benign
185,15,17972,10579,8410715.310618512,Benign
31,122,9762,4512,17032134.80351174,Benign
247,148,10537,2478,10738410.449937498,Benign
167,129,2642,13419,17381962.863495857,Benign
47,82,2365,4916,13593657.282883793,Benign
239,151,8556,14258,10665606.671718597,Benign
60,163,1008,5996,6938234.027006247,Benign
273,185,17915,12990,19409272.66475445,Benign
292,94,2035,11853,16217055.495661937,Probe
36,12,13763,8374,8242556.518272966,Benign
235,156,19001,2724,4167748.268121875,Benign
286,140,7722,13414,15811172.953272581,Benign
295,115,18460,14656,19808941.46840748,Benign
106,180,5015,10771,6300524.122056969,Benign
293,162,8129,7589,18401398.37436492,Benign
156,62,3962,13514,3382043.4061704837,Benign
13,90,5840,1453,19091918.83078523,Benign
44,59,18296,11559,15161439.336418204,Benign
201,126,16337,7434,7585328.356010366,Benign
58,194,6699,10982,6788004.623628443,Benign
26,112,6922,6417,13225271.724847674,Benign
181,52,15862,8761,12276635.664915299,Benign
229,136,14598,9786,18459797.32838004,Benign
167,169,2898,6242,15558619.54997507,Benign
55,140,3822,4753,11266932.57890461,Benign
15,133,5484,1048,18623750.994953435,Benign
108,51,14052,2339,12261881.995331157,Benign
242,9,19038,2451,17144011.877552867,DoS
46,182,17975,9750,16977910.38985927,Benign
289,28,2848,12243,18464702.320041187,Benign
190,179,14269,3007,2284438.5943029867,Benign
104,22,4041,12599,12092573.690988777,Infiltration
108,88,17551,13673,9899459.232249934,Benign
197,160,5379,12182,10320305.285828777,Benign
125,9,8661,13298,9738301.468783854,Benign
200,34,7967,13155,16911867.09902448,Benign
262,5,13199,11651,7050225.050921838,Benign
170,90,16674,14698,9792270.55096579,Benign
265,86,14531,9574,4812968.315120628,Benign
137,178,19565,6850,5782615.70256996,Benign
27,73,1832,8103,13547981.583533626,Benign
290,35,15210,3125,3221782.826762577,Benign
232,95,18405,6393,4568614.4088988695,Benign
63,188,11185,14081,11032656.631854968,Benign
67,97,4492,7900,1831687.531297257,Benign
183,131,12862,13456,3411612.9889874393,Benign
289,160,1288,2653,17403705.840368226,Benign
123,20,8816,5261,17076788.550104916,Benign
297,58,2076,7685,7607745.995892662,Benign
160,185,16564,4066,7611834.9909125045,Benign
136,144,2371,759,18793793.53601607,Benign
164,24,2074,10200,1490981.6423684414,Probe
282,86,5934,9004,12025614.748620145,Benign
113,166,1039,11370,12350421.00177382,Benign
255,185,5274,2344,15969854.276451563,Benign
185,196,17566,7769,19083259.800629415,Benign
48,155,6496,11276,7760724.153823535,Benign
179,113,13992,12706,9318835.995664023,Benign
256,159,3508,11943,13754671.12988337,Benign
35,117,13018,2033,19378160.824539356,Benign
22,21,9072,6096,17925054.72099744,Benign
45,180,14348,5269,13674007.062130846,Benign
182,153,14910,10115,17277747.861749418,Benign
29,182,14952,2520,2618884.186937289,Benign
273,172,17065,6858,8165411.914185201,Benign
151,130,1318,6002,1248757.4182780965,Benign
152,7,12818,5743,4371972.526958058,Benign
101,21,19787,2191,12979358.852845637,Benign
297,193,14982,10420,17825670.85093967,Brute Force
224,54,11856,9019,13022825.889844114,Benign
60,126,13516,2088,13618624.033162767,Benign
162,94,1728,4253,2972610.4998678355,Probe
195,91,2287,11586,13632349.327354217,Benign
72,10,5001,597,9632587.630014628,Benign
199,160,9752,5254,13377364.400054645,Benign
134,59,2375,11039,7197289.08106672,Benign
159,190,15970,6673,12048232.891600233,Benign
67,177,13078,9789,9057316.639788799,Benign
189,151,1024,13805,11614104.053266155,Benign
179,106,18538,8552,3794700.8482661997,Benign
280,33,13657,5518,8520672.218728416,Benign
63,155,18843,14919,8111294.487880227,Benign
110,115,16583,6204,14991495.892403359,Benign
273,164,5706,8411,14421780.765393244,Benign
62,14,14663,14101,18268315.00989533,Benign
69,95,16844,13426,13009056.253380753,Benign
117,181,10412,8776,6976395.466075993,Benign
14,197,19540,1777,15881268.601471296,Benign
112,33,6979,11403,10442955.227138901,Benign
205,191,8943,14635,4676371.001952492,Benign
271,49,9911,1018,15200817.898215402,Benign
56,199,8486,12215,3518096.518665351,Benign
153,55,2105,5926,4384913.293676455,Benign
278,105,4769,8315,15416362.640267799,Benign
133,132,3479,683,15632749.187354473,Benign
115,15,11112,9664,16024844.10728009,Benign
167,86,12271,12077,6573177.363925198,Benign
156,132,5731,2888,17465161.690058857,Benign
154,10,12361,4822,14730694.583279382,Benign
129,71,17087,5432,16845380.78147547,Brute Force
284,66,4172,4327,14463504.21019091,Benign
101,137,15041,11003,12012332.716180472,Benign
67,141,8068,2997,3078500.6599063673,Benign
238,32,7557,14062,14507788.027087035,Benign
126,42,4330,3979,14118754.733705498,Benign
288,47,7022,12957,6937331.532450347,Benign
136,121,13643,9257,14980575.611882096,Benign
138,153,3058,2435,11458636.515195223,Benign
67,194,19254,6775,11628718.532324884,Benign
131,50,4621,9518,7984488.896928539,Benign
10,170,10337,13393,3218915.7854625946,Infiltration
248,53,4991,11809,5121640.699453792,Benign
299,43,12565,849,15607801.413385106,DoS
105,75,9503,598,6157389.459440984,Benign
135,131,18158,2269,1042808.0323766188,Benign
127,162,16337,2304,19943331.00149945,Benign
57,153,12112,9752,5002962.443157047,Benign
98,5,14761,12201,13452279.828537483,Benign
246,164,11023,8612,18611518.08692488,Benign
281,140,9885,11748,12394541.958044805,Benign
198,73,2376,4670,16181581.68660469,Benign
201,34,6939,10797,19551062.530827485,Benign
78,119,10181,11782,17346905.09266593,Benign
287,12,3846,901,11600177.684888873,Probe
256,117,7817,8879,7910355.679159447,Benign
85,23,8430,12676,10166824.534115233,Benign
163,63,12151,8830,16994697.195620343,Benign
153,187,2716,642,17213737.592862166,Benign
95,162,7780,12895,17071243.52480891,Benign
194,83,4331,720,12347263.652250208,Benign
294,40,10081,4740,10062162.437394645,Probe
229,59,18762,7501,6915423.065817574,Benign
78,48,5275,13297,1063856.2484566567,Benign
56,159,11556,11115,15525220.146358162,Benign
103,81,14555,12792,6262967.320267039,Benign
247,82,17615,12720,7263880.012321411,Benign
213,105,11004,887,17026143.272093832,Benign
227,186,6422,12530,1992771.985329792,Benign
48,180,12188,11723,18624786.297691334,Benign
109,34,1247,14545,1025876.5263316218,Benign
298,43,14598,6491,18844213.181682717,Benign
263,17,14227,1059,9640411.330584912,Benign
231,126,14811,2339,2940329.877884572,Benign
32,148,4741,11926,13809065.977582559,Benign
259,176,17446,2271,18021272.088703215,Benign
19,116,2551,14571,9323383.52010478,Benign
255,159,7306,9056,14135800.17658266,Benign
109,49,4005,9108,19607891.683596585,Benign
299,123,4322,8176,5573315.650547096,Benign
189,39,17008,10327,16588539.681531074,Benign
232,160,8997,2568,6609505.077596356,Benign
259,11,13466,7257,9100414.39981304,Benign
156,194,13516,1016,6353551.501447955,Benign
105,114,18266,12723,9474223.220248325,Benign
266,118,1393,9912,1096691.6161373677,Benign
13,55,3739,1160,6765338.099275159,Benign
25,50,5167,3916,9460587.21481622,Benign
289,24,14194,9021,13012563.490415825,Benign
256,100,5231,877,13109866.432342269,Benign
267,42,2401,11974,12091926.750939364,Benign
169,193,9086,659,6567604.762253641,Benign
161,108,1905,13445,19000682.002779163,Benign
187,36,1529,9955,8447426.651080888,Benign
172,158,9011,4674,5120984.883542098,Benign
42,62,16001,2699,11535745.853691759,Benign
188,171,5618,11256,15229644.727737358,Benign
110,152,17956,11122,1232437.8836230582,Benign
277,86,18027,13480,6250536.140515401,Benign
74,54,15908,10729,16674579.199400568,Brute Force
177,56,8013,11091,10633400.774326365,Benign
52,90,10484,9916,8761277.787018366,Benign
53,119,12787,13738,18687124.312063925,Benign
294,154,13834,6776,2701166.845333935,Benign
21,57,6605,2488,12695833.814779133,Benign
104,70,11677,7277,7501585.608631763,Probe
262,121,17938,6812,2345644.5675655887,Benign
251,47,15051,8668,5061145.663605584,Benign
44,86,11766,1365,12930731.047328401,Benign
224,155,11416,9082,1537261.743236591,Benign
99,68,16009,14669,12252727.492397668,Benign
273,141,14874,10100,19180158.003128782,Benign
102,117,10185,5415,16106825.185035117,Benign
99,139,18505,6741,7566344.507343067,Benign
124,173,17439,7635,3625945.280870558,Benign
114,58,15660,12722,9836224.244346593,Benign
205,69,9849,13127,8466058.287389703,Benign
123,6,5736,2054,19462926.240453187,Benign
84,136,3609,4547,19807493.035660017,Benign
226,82,15675,631,8801108.470152032,Benign
286,36,4909,4179,3826895.6870687995,Benign
258,104,17787,6853,18301581.4432152,Benign
173,134,15867,3576,16077303.237672873,Benign
201,108,1794,13164,10714209.926458254,Benign
236,196,18945,13427,7941738.217287685,Benign
186,146,16369,2021,9515150.724394822,Benign
108,152,11833,3769,18135742.3307971,Benign
45,93,11856,940,4508225.507507231,Benign
105,53,7795,10433,16328886.901345948,Benign
161,140,6492,1703,1345622.0237159524,Benign
160,195,16794,8932,18490867.869699616,Benign
199,178,11149,14597,10505648.31327791,Benign
233,153,5999,3891,5308208.700482272,Benign
46,91,6197,4221,1054273.5535264658,Benign
277,164,4562,12810,11631382.90615071,Benign
192,12,19078,7275,5645269.540636924,Probe
22,105,1855,7660,12994022.384206023,Benign
288,20,10487,8375,6342216.347588898,Benign
226,44,4621,9895,2672456.554614311,Benign
295,110,5206,2387,10595980.967027627,Benign
282,31,2038,4770,11725228.989474744,Benign
71,108,5596,8889,9599210.485251464,Benign
93,109,15151,8205,9702675.532265846,Benign
226,150,5370,12217,12203352.430100292,Benign
196,39,4447,4694,11000716.678792916,Benign
28,117,16903,1244,3518783.238390505,Benign
186,56,16326,6046,4744627.283215614,Benign
109,147,15056,952,3694029.7871519513,Benign
242,195,6229,3762,14172616.062175171,DoS
85,57,3241,11713,11043369.831172355,Benign
274,95,8818,8245,9167247.347087637,Benign
293,85,7998,14569,16168440.910184138,Benign
215,108,11155,998,7190098.535455298,Benign
232,70,7444,12379,11794026.59872826,Benign
61,117,4015,11954,2413744.4283137703,Benign
153,35,15903,640,15143677.592677126,Benign
78,65,7815,2214,14208656.451496206,Benign
108,196,5864,11512,16245212.956640758,Benign
34,105,10676,10914,17805043.20231452,Benign
62,109,5234,11159,15402537.078612953,Benign
160,102,15147,1175,17045307.91241858,Benign
153,38,19723,4005,7567437.380272767,Benign
66,187,9526,14251,7523409.878283855,Probe
48,63,7842,4102,18941715.57809651,Benign
118,7,2858,7175,18376916.190197892,Benign
190,21,2207,9609,11421449.480999228,Benign
51,82,18308,10514,7964616.920180271,Benign
195,50,6429,7004,17454029.074917205,Brute Force
232,170,8591,12514,7144811.516119958,Benign
131,39,13944,11295,3919066.5749944435,Benign
142,133,6892,5303,13150360.825104121,Benign
172,116,12777,2230,1809814.3849263715,Benign
224,161,6945,12120,8202936.217163271,Benign
230,136,8691,6476,16345612.498197818,Benign
244,65,13548,13348,6609107.71816386,Benign
155,101,14673,13784,18694994.102397133,Benign
248,149,5027,12846,19160668.665716108,Benign
85,160,13456,8311,16500509.71453726,Benign
18,182,5295,7528,19765223.06084919,Benign
83,94,13869,13978,11084518.118717315,Benign
262,140,5661,4218,11814791.49064046,Benign
239,166,15730,13754,16887169.49013909,Benign
16,63,13034,7588,10363299.859973717,Benign
183,22,19782,2124,8727680.12982832,Benign
150,99,17411,2306,12680318.23231624,Benign
177,191,13142,13050,13495530.706128757,Benign
179,159,2898,10146,15267020.61222716,Benign
292,20,13919,9045,13695813.247941623,Benign
131,14,8300,3433,15168714.11000324,Benign
203,108,3427,1440,13816633.746886294,Benign
14,80,2625,8287,10128459.531503398,Benign
38,154,11767,4445,3563757.102392936,Benign
174,20,19420,7558,15923421.34976991,Benign
145,16,4355,12834,1584803.876365978,Benign
154,79,15053,5348,19857501.743465453,Benign
226,183,5902,14120,16740711.308853917,Benign
141,133,16786,8921,13747301.551644795,Benign
79,31,11266,12174,19365528.665234614,Benign
261,199,9280,14712,12636935.347667977,Benign
284,16,15954,5352,2072224.734142613,Benign
191,34,12996,6959,11628261.306275882,Benign
176,13,15046,5357,6266879.527481914,Benign
100,57,15205,13888,8020073.031704299,Probe
211,193,5961,14897,9732117.96115055,Benign
28,58,1032,8238,15717414.181386886,Benign
48,169,5698,737,10555655.073048167,Benign
135,197,9887,4272,10018925.525676496,Benign
182,174,9716,8235,6737470.617095076,Benign
150,53,14335,12865,11257572.595201356,Benign
251,8,7177,3281,5719426.234270996,Probe
229,196,9438,11298,5958882.492756331,Benign
135,83,4926,7587,15387916.727745889,Benign
67,183,16378,2484,7508398.0256727105,Benign
157,95,11288,11787,1976593.785843125,Benign
10,192,11154,1552,7529868.432004635,Benign
199,83,3959,8158,13132871.94946576,Benign
200,163,19611,5754,16465726.146869125,Benign
126,107,2393,850,19276796.946454864,Benign
143,115,19407,1412,15178188.008024542,Benign
67,62,14025,4945,9148180.5789199,Benign
53,86,7064,9996,6683266.304894195,Benign
182,136,7639,11215,3462969.8132468984,Benign
169,26,3478,791,12926042.254476173,Benign
182,135,8929,9904,10687782.96807112,Benign
158,83,10173,8250,13876328.812438684,Benign
89,103,12415,967,5505529.972646322,Benign
222,179,9418,3777,7149239.194088966,Benign
212,42,18650,5861,6549811.640474142,Benign
261,165,3057,5803,16155385.0013138,Benign
238,180,14703,11217,4253366.4824035885,Benign
173,197,15383,4075,12560970.223465415,Benign
236,121,14935,11891,1975745.2994230278,Benign
156,30,11443,7092,11441023.942132672,Benign
29,140,3941,4825,2214365.5393080623,Benign
56,54,1156,1564,4341655.22497176,Benign
242,42,13255,5388,3147480.7390176817,Benign
23,142,18144,12155,7587781.723785103,Benign
152,46,9965,13611,7530896.936446853,Benign
10,41,18341,10385,16701966.33383687,Benign
63,158,15805,13623,5288061.576230045,Benign
268,144,17637,2894,2641348.093705563,Benign
153,53,18953,10749,12466724.025468465,Benign
21,146,8505,8778,14061563.29240013,Benign
233,50,13405,11284,6601648.704407622,Benign
281,167,13837,12734,12453468.210866166,Benign
165,33,9999,3420,15745074.792126236,DoS
17,16,10973,14150,7603505.8424461335,Benign
131,120,12855,7358,10981722.958729124,Benign
173,86,7557,503,3786032.199774081,Benign
99,48,10071,11786,1449289.2203334267,Benign
145,198,6088,14008,19645991.521405764,DoS
195,6,17384,6440,6694886.160191029,Benign
187,191,17550,8548,6299138.963714611,Benign
37,21,3063,10213,19491657.530288666,Benign
229,142,9303,11640,14836436.951499216,Benign
50,22,12631,12549,12120659.87086918,Benign
237,26,2125,2477,14287144.50677378,Benign
201,87,3641,10166,14488604.76721265,Probe
154,62,18813,9822,15503381.725566667,Benign
210,57,11235,9572,2276595.396978479,Benign
221,5,13794,10093,8843796.975874871,Benign
229,65,19018,10667,6607476.038827313,Benign
249,163,9862,13723,2340823.131823104,Benign
55,35,4111,14666,8839380.940082148,Benign
44,70,2690,2250,12707296.222849788,Benign
262,151,16740,501,4391455.919513958,Benign
91,57,16094,9836,6795508.133869221,Benign
265,99,16875,10330,13144245.616425926,Benign
206,154,10156,8840,12007168.493587054,Benign
19,27,17664,4747,17506923.800291255,Benign
295,147,5446,8232,16033388.423357286,Benign
251,158,11158,6535,19346609.99343456,Benign
260,135,3808,11045,12346672.892154166,Benign
14,91,6402,2543,14270879.9618209,Benign
128,152,2964,2202,17349618.917473655,Benign
298,129,18206,6447,16959856.451680094,Benign
74,113,10629,11621,14655711.198498452,Benign
155,44,3061,13262,10504867.978105526,Benign
233,125,4865,1887,6190930.876383848,Benign
248,43,5294,13594,17667099.324772716,Benign
186,124,15171,13882,15756453.402508795,Benign
276,22,13965,10355,16920232.087211102,Benign
291,173,13228,10772,3674997.0447968794,Benign
72,159,16651,13968,6981444.685596217,Benign
226,147,17461,14141,9072815.720093373,Benign
292,41,3159,6326,16928687.473710652,Infiltration
186,190,13822,10688,17964846.781578455,Benign
107,9,4187,12384,6412961.570850439,Benign
114,77,8135,11922,14042154.17804953,Benign
108,139,14508,14350,2478469.9168987046,Benign
15,45,1789,9942,8781892.167406462,Benign
206,14,18947,4962,10246713.047285818,Benign
142,194,2322,14588,15547023.483083202,Benign
268,158,14387,2536,17947472.49990529,Benign
32,72,7673,6905,7408381.480664668,Benign
62,28,18886,7289,11027038.908896126,Benign
174,82,8116,6619,13301516.22498296,Benign
211,173,19043,1037,7245057.3499894785,Benign
92,197,10507,10246,19725226.050306845,Benign
154,149,4062,14851,17639713.211830467,Benign
94,113,19454,10844,6631653.748465716,Benign
87,28,11868,9482,10650978.388981918,Benign
10,159,3553,14014,5385971.651697643,Benign
60,11,18428,7363,10775574.45916336,Benign
182,77,10979,2448,13983314.551642412,Benign
214,111,6957,14489,2624900.7630667686,Benign
269,103,12727,5678,17532226.891338162,Benign
297,126,5578,5604,12281171.500485087,Benign
43,16,6621,4643,19802455.072963033,Benign
104,89,2966,13447,1486238.637740561,Benign
81,7,11548,10127,16798468.670866407,Benign
48,83,14864,11941,16047297.916836403,Benign
163,89,19634,3348,3524197.7287606145,Benign
259,14,12679,8805,7370807.066584728,Benign
171,37,15975,2843,17811127.857839283,Benign
127,50,15167,5033,10850631.606372831,Benign
